id,number of boxes,left_small_portrait,right_small_portrait,left_large_portrait,right_large_portrait,left_small_landscape,right_small_landscape,left_large_landscape,right_large_landscape,left_small_square,right_small_square,left_large_square,right_large_square,full_page_square,left_box_ids,right_box_ids,left_portrait_ids,right_portrait_ids,left_landscape_ids,right_landscape_ids,left_square_ids,right_square_ids,boxes_areas,left_mixed,right_mixed,boxes_info
3443,1,0,0,0,0,0,0,1,0,0,0,0,0,0,[11839],[],[],[],[11839],[],[],[],"[{'id': 11839, 'area': 1.169578034744461}]",False,False,"[{'id': 11839, 'x': 0.28592162554426703, 'y': 0.07119126720455624, 'width': 0.6826318335752298, 'height': 0.8566682486948267, 'layer': 1, 'type': 0, 'tag': None}]"
3444,1,0,0,0,0,0,0,1,0,0,0,0,0,0,[11840],[],[],[],[11840],[],[],[],"[{'id': 11840, 'area': 2.0}]",False,False,"[{'id': 11840, 'x': 0.0, 'y': 0.0, 'width': 1.0, 'height': 1.0, 'layer': 1, 'type': 0, 'tag': None}]"
3445,1,0,0,0,0,0,0,1,0,0,0,0,0,0,[11841],[],[],[],[11841],[],[],[],"[{'id': 11841, 'area': 1.6073585204156255}]",False,False,"[{'id': 11841, 'x': 0.031446540880503145, 'y': 0.07119126720455624, 'width': 0.9371069182389937, 'height': 0.8576174655908875, 'layer': 1, 'type': 0, 'tag': None}]"
3450,2,0,0,0,0,1,1,0,0,0,0,0,0,0,[11869],[11870],[],[],[11869],[11870],[],[],"[{'id': 11869, 'area': 0.21909798448693954}, {'id': 11870, 'area': 0.46438197920677704}]",False,False,"[{'id': 11869, 'x': 0.10304789550072568, 'y': 0.32130991931656383, 'width': 0.28942912433478474, 'height': 0.378500237304224, 'layer': 1, 'type': 0, 'tag': None}, {'id': 11870, 'x': 0.5384615384615384, 'y': 0.22259136212624583, 'width': 0.42138364779874216, 'height': 0.5510204081632653, 'layer': 1, 'type': 0, 'tag': None}]"
3451,2,0,0,0,0,0,0,0,0,1,0,0,1,0,[11871],[11872],[],[],[],[],[11871],[11872],"[{'id': 11871, 'area': 0.46854484866144114}, {'id': 11872, 'area': 0.7497410548247382}]",False,False,"[{'id': 11871, 'x': 0.07692307692307693, 'y': 0.16184148077835786, 'width': 0.3466376390904693, 'height': 0.6758424299952539, 'layer': 1, 'type': 0, 'tag': None}, {'id': 11872, 'x': 0.5314465408805031, 'y': 0.07119126720455624, 'width': 0.4371069182389937, 'height': 0.8576174655908875, 'layer': 1, 'type': 0, 'tag': None}]"
3452,2,0,0,0,0,1,1,0,0,0,0,0,0,0,[11873],[11874],[],[],[11873],[11874],[],[],"[{'id': 11873, 'area': 0.2853172861948641}, {'id': 11874, 'area': 0.2853172861948641}]",False,False,"[{'id': 11873, 'x': 0.08272859216255443, 'y': 0.2823920265780731, 'width': 0.3303096274794388, 'height': 0.4318936877076412, 'layer': 1, 'type': 0, 'tag': None}, {'id': 11874, 'x': 0.5839380745041123, 'y': 0.2823920265780731, 'width': 0.3303096274794388, 'height': 0.4318936877076412, 'layer': 1, 'type': 0, 'tag': None}]"
3453,2,0,0,0,0,1,1,0,0,0,0,0,0,0,[11875],[11876],[],[],[11875],[11876],[],[],"[{'id': 11875, 'area': 0.5294242312984869}, {'id': 11876, 'area': 0.5294242312984869}]",False,False,"[{'id': 11875, 'x': 0.031446540880503145, 'y': 0.1953013763644993, 'width': 0.4371069182389937, 'height': 0.6056003796867584, 'layer': 1, 'type': 0, 'tag': None}, {'id': 11876, 'x': 0.5314465408805031, 'y': 0.1953013763644993, 'width': 0.4371069182389937, 'height': 0.6056003796867584, 'layer': 1, 'type': 0, 'tag': None}]"
3454,2,1,1,0,0,0,0,0,0,0,0,0,0,0,[11877],[11878],[11877],[11878],[],[],[],[],"[{'id': 11877, 'area': 0.24747604513165847}, {'id': 11878, 'area': 0.24747604513165847}]",False,False,"[{'id': 11877, 'x': 0.1463473633284954, 'y': 0.19814902705268153, 'width': 0.20561199806482824, 'height': 0.6018035121025154, 'layer': 1, 'type': 0, 'tag': None}, {'id': 11878, 'x': 0.6470730527334301, 'y': 0.19814902705268153, 'width': 0.20561199806482824, 'height': 0.6018035121025154, 'layer': 1, 'type': 0, 'tag': None}]"
3455,2,0,0,1,1,0,0,0,0,0,0,0,0,0,[11879],[11880],[11879],[11880],[],[],[],[],"[{'id': 11879, 'area': 0.5308764137511081}, {'id': 11880, 'area': 0.5308764137511081}]",False,False,"[{'id': 11879, 'x': 0.09482341557813256, 'y': 0.07119126720455624, 'width': 0.3095065312046444, 'height': 0.8576174655908875, 'layer': 1, 'type': 0, 'tag': None}, {'id': 11880, 'x': 0.5948234155781326, 'y': 0.07119126720455624, 'width': 0.3095065312046444, 'height': 0.8576174655908875, 'layer': 1, 'type': 0, 'tag': None}]"
3456,2,0,0,1,1,0,0,0,0,0,0,0,0,0,[11881],[11882],[11881],[11882],[],[],[],[],"[{'id': 11881, 'area': 0.5308764137511081}, {'id': 11882, 'area': 0.32328068095635326}]",False,False,"[{'id': 11881, 'x': 0.09482341557813256, 'y': 0.07119126720455624, 'width': 0.3095065312046444, 'height': 0.8576174655908875, 'layer': 1, 'type': 0, 'tag': None}, {'id': 11882, 'x': 0.6328011611030478, 'y': 0.15662078785002373, 'width': 0.2351233671988389, 'height': 0.6874703369719981, 'layer': 1, 'type': 0, 'tag': None}]"
