2025-02-19 17:43:04,484 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-02-19 17:43:04,486 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 14196
2025-02-19 17:43:04,486 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 36076
2025-02-19 17:43:04,486 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 11720
2025-02-19 17:43:04,486 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 6272
2025-02-19 17:43:35,056 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 17:43:35,058 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 17:43:35,573 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 17:43:36,047 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 17:43:36,760 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 17:43:37,548 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 17:43:37,736 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 17:55:01,813 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-02-19 17:55:01,814 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 43096
2025-02-19 17:55:01,815 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 18064
2025-02-19 17:55:01,814 | SystemTimers         | ptinfra.timer    | INFO : Timer thread done.
2025-02-19 17:55:01,815 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 38384
2025-02-19 17:55:01,816 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 24956
