2025-01-20 12:51:08,348 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 12:51:08,348 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 16172
2025-01-20 12:51:08,348 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 7144
2025-01-20 12:51:08,348 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 21912
2025-01-20 12:51:08,348 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 18200
2025-01-20 13:00:41,548 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 13:00:41,551 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 32960
2025-01-20 13:00:41,551 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 37484
2025-01-20 13:00:41,551 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 31032
2025-01-20 13:00:41,551 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 18296
2025-01-20 14:40:44,826 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 14:40:44,827 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 11724
2025-01-20 14:40:44,827 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 9984
2025-01-20 14:40:44,827 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 13176
2025-01-20 14:40:44,827 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 25580
2025-01-20 14:42:53,642 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 14:42:53,642 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 32332
2025-01-20 14:42:53,643 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 31404
2025-01-20 14:42:53,643 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 28092
2025-01-20 14:42:53,643 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 16328
2025-01-20 14:43:48,750 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 14:43:48,750 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 12368
2025-01-20 14:43:48,750 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 22804
2025-01-20 14:43:48,750 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 12516
2025-01-20 14:43:48,750 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 4204
2025-01-20 14:45:26,871 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 14:45:26,871 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 15460
2025-01-20 14:45:26,871 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 40648
2025-01-20 14:45:26,871 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 19728
2025-01-20 14:45:26,871 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 38204
2025-01-20 14:48:04,135 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 14:48:04,135 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 33232
2025-01-20 14:48:04,135 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 23604
2025-01-20 14:48:04,135 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 3196
2025-01-20 14:48:04,136 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 34740
2025-01-20 14:51:14,524 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 14:51:14,524 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 35180
2025-01-20 14:51:14,524 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 22684
2025-01-20 14:51:14,524 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 8724
2025-01-20 14:51:14,524 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 9620
2025-01-20 14:52:45,772 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 14:52:45,773 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 6616
2025-01-20 14:52:45,773 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 17776
2025-01-20 14:52:45,773 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 23976
2025-01-20 14:52:45,773 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 16648
2025-01-20 14:58:18,162 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 14:58:18,162 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 16940
2025-01-20 14:58:18,162 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 29872
2025-01-20 14:58:18,162 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 29052
2025-01-20 14:58:18,163 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 8108
2025-01-20 15:01:56,238 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 15:01:56,238 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 34360
2025-01-20 15:01:56,238 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 33308
2025-01-20 15:01:56,238 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 8620
2025-01-20 15:01:56,238 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 13860
2025-01-20 15:02:35,642 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 15:02:35,642 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 18068
2025-01-20 15:02:35,643 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 16656
2025-01-20 15:02:35,643 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 35740
2025-01-20 15:02:35,643 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 33704
2025-01-20 15:02:52,301 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 15:02:52,302 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 25516
2025-01-20 15:02:52,302 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 25220
2025-01-20 15:02:52,302 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 16804
2025-01-20 15:02:52,302 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 27960
2025-01-20 15:05:23,612 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 15:05:23,612 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 25924
2025-01-20 15:05:23,612 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 15728
2025-01-20 15:05:23,612 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 30800
2025-01-20 15:05:23,612 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 15580
2025-01-20 15:11:33,031 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 15:11:33,031 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 39736
2025-01-20 15:11:33,031 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 27924
2025-01-20 15:11:33,031 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 26400
2025-01-20 15:11:33,031 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 15752
2025-01-20 15:13:20,768 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 15:13:20,769 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 22636
2025-01-20 15:13:20,769 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 37056
2025-01-20 15:13:20,769 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 29632
2025-01-20 15:13:20,769 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 33092
2025-01-20 15:25:07,426 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 15:25:07,427 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 19164
2025-01-20 15:25:07,427 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 24016
2025-01-20 15:25:07,427 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 4032
2025-01-20 15:25:07,427 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 4968
2025-01-20 15:51:40,028 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 15:51:40,028 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 35288
2025-01-20 15:51:40,028 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 39428
2025-01-20 15:51:40,028 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 24188
2025-01-20 15:51:40,028 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 26768
2025-01-20 16:13:51,271 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 16:13:51,271 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 36900
2025-01-20 16:13:51,271 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 14308
2025-01-20 16:13:51,271 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 12116
2025-01-20 16:13:51,271 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 39104
2025-01-20 16:17:18,287 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 16:17:18,287 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 9620
2025-01-20 16:17:18,287 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 15328
2025-01-20 16:17:18,287 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 16328
2025-01-20 16:17:18,287 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 29876
2025-01-20 16:42:53,462 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-20 16:42:53,462 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 30492
2025-01-20 16:42:53,462 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 2780
2025-01-20 16:42:53,462 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 19996
2025-01-20 16:42:53,462 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 21028
2025-01-21 11:49:26,495 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-21 11:49:26,496 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 35472
2025-01-21 11:49:26,496 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 14200
2025-01-21 11:49:26,496 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 30520
2025-01-21 11:49:26,496 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 14948
2025-01-21 12:03:46,052 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-01-21 12:03:46,052 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 30228
2025-01-21 12:03:46,052 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 11824
2025-01-21 12:03:46,052 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 9652
2025-01-21 12:03:46,052 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 13224
